Categaory,Product_name,Product_price,Product_url
HHP,SAMSUNG GALAXY S7 EDGE - NEW - RESMI SEIN,Rp3.400.000,https://www.bukalapak.com/p/handphone/hp-smartphone/2i7k45a-jual-samsung-galaxy-s7-edge-new-resmi-sein?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=0&cf=1&ssa=0&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=1
HHP,Samsung Galaxy S7 Edge Duos,Rp2.850.000,https://www.bukalapak.com/p/handphone/hp-smartphone/91jjm7-jual-samsung-galaxy-s7-edge-duos?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=1&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
HHP,Samsung Galaxy S7 Flat Dual G930FD Resmi SEIN Original Murah Boss,Rp1.150.000,https://www.bukalapak.com/p/handphone/hp-smartphone/1r1txdm-jual-samsung-galaxy-s7-flat-dual-g930fd-resmi-sein-original-murah-boss?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=2&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
HHP,Samsung Galaxy S7 Flat G930FD Duos Resmi SEIN paling Murah Boss,Rp1.125.000,https://www.bukalapak.com/p/handphone/hp-smartphone/1ffhs75-jual-samsung-galaxy-s7-flat-g930fd-duos-resmi-sein-paling-murah-boss?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=3&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
HHP,Samsung Galaxy S7 Edge Garansi Resmi SEIN - BNIB,Rp6.020.000,https://www.bukalapak.com/p/handphone/hp-smartphone/9twqjw-jual-samsung-galaxy-s7-edge-garansi-resmi-sein-bnib?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=4&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
HHP,Samsung Galaxy S7 Flat Duos SEIN Fullset Mulus,Rp2.150.000,https://www.bukalapak.com/p/handphone/hp-smartphone/fvh0ws-jual-samsung-galaxy-s7-flat-duos-sein-fullset-mulus?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=5&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
HHP,Samsung Galaxy S7 edge Silver single sim super mulus ex inter USA fullset support GOJEK JKT,Rp4.749.000,https://www.bukalapak.com/p/handphone/hp-smartphone/8zakcc-jual-samsung-galaxy-s7-edge-silver-single-sim-super-mulus-ex-inter-usa-fullset-support-gojek-jkt?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=6&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
HHP,ARMBAND CAPDASE 155A SAMSUNG GALAXY NOTE S5 S6 S7 EDGE A8 5 IPHONE 6 7,Rp124.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hgmc5z-jual-armband-capdase-155a-samsung-galaxy-note-s5-s6-s7-edge-a8-5-iphone-6-7?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=7&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
HHP,Nillkin nature Tpu softcase softjacket Samsung Galaxy S7,Rp65.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hehlza-jual-nillkin-nature-tpu-softcase-softjacket-samsung-galaxy-s7?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=8&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
HHP,Softjacket Nillkin Nature TPU case Samsung Galaxy S7,Rp65.000,https://www.bukalapak.com/p/handphone/hp-smartphone/heib9o-jual-softjacket-nillkin-nature-tpu-case-samsung-galaxy-s7?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=9&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
HHP,Nillkin armor defender II Samsung Galaxy S7,Rp130.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hehwwn-jual-nillkin-armor-defender-ii-samsung-galaxy-s7?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=10&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
HHP,Garansi 1 Tahun Bantu Claim Samsung Galaxy S7 EDGE 32GB DUOS DUAL SIM FL,Rp10.425.000,https://www.bukalapak.com/p/handphone/hp-smartphone/1sx8g1e-jual-garansi-1-tahun-bantu-claim-samsung-galaxy-s7-edge-32gb-duos-dual-sim-fl?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=11&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
HHP,XIAOMI Spesial Edition RAM 6GB ROM 128GB - NEW BNIB SEGEL-  Desain Style MEWAH PREMIUM - HIGH CLASS LAYAR MELENGKUNG Mirip Samsung Galaxy S7 EDGE,Rp6.250.000,https://www.bukalapak.com/p/handphone/hp-smartphone/am8rpa-jual-xiaomi-spesial-edition-ram-6gb-rom-128gb-new-bnib-segel-desain-style-mewah-premium-high-class-layar-melengkung-mirip-samsung-galaxy-s7-edge?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=12&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
HHP,Garansi 1 Tahun Samsung Galaxy S7 EDGE 32GB BLACK DUOS DUAL SIM FL,Rp10.425.000,https://www.bukalapak.com/p/handphone/hp-smartphone/1sxbc1a-jual-garansi-1-tahun-samsung-galaxy-s7-edge-32gb-black-duos-dual-sim-fl?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=13&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
HHP,SUPER SALE HP SAMSUNG GALAXY S7 EDGE DUOS 32GB ORIGINAL BNIB,Rp8.450.000,https://www.bukalapak.com/p/handphone/hp-smartphone/hpmkkh-jual-super-sale-hp-samsung-galaxy-s7-edge-duos-32gb-original-bnib?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=14&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
HHP,MANTUL  SPECIAL PROMO  SAMSUNG GALAXY S7 EDGE ABSOLUTE BLACK 128 4  GRS RESMI AWET,Rp7.824.800,https://www.bukalapak.com/p/handphone/hp-smartphone/3rpwob9-jual-mantul-special-promo-samsung-galaxy-s7-edge-absolute-black-128-4-grs-resmi-awet?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=15&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
HHP,Pengganti Lensa Kaca Kamera Belakang Untuk Samsung Galaxy S7   S7 Edge Unik,Rp103.700,https://www.bukalapak.com/p/handphone/hp-smartphone/3o2nqjv-jual-pengganti-lensa-kaca-kamera-belakang-untuk-samsung-galaxy-s7-s7-edge-unik?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=16&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
HHP,SPESIAL DISC SAMSUNG GALAXY S7 BLACK   GOLD  BNIB SEGEL  GARANSI RESMI SEIN MEWAH,Rp5.685.800,https://www.bukalapak.com/p/handphone/hp-smartphone/3rq90p1-jual-spesial-disc-samsung-galaxy-s7-black-gold-bnib-segel-garansi-resmi-sein-mewah?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=17&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
HHP,Konektor Connector SIM Samsung Galaxy S7 G930 S7 Edge G935,Rp72.000,https://www.bukalapak.com/p/handphone/hp-smartphone/3vinaom-jual-konektor-connector-sim-samsung-galaxy-s7-g930-s7-edge-g935?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=18&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
HHP,Pengganti Lensa Kaca Kamera Belakang Untuk Samsung Galaxy S7   S7 Edge Unik,Rp103.700,https://www.bukalapak.com/p/handphone/hp-smartphone/3s19lnv-jual-pengganti-lensa-kaca-kamera-belakang-untuk-samsung-galaxy-s7-s7-edge-unik?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=19&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
HHP,Samsung Galaxy Tab S7  Tab S7 Plus 8 256 GB  8GB 256GB  LTE 12 4 inch Garansi SEIN,Rp23.662.500,https://www.bukalapak.com/p/handphone/hp-smartphone/3uxr3k5-jual-samsung-galaxy-tab-s7-tab-s7-plus-8-256-gb-8gb-256gb-lte-12-4-inch-garansi-sein?from=trend&keyword=&funnel=omnisearch&product_owner=normal_seller&pos=20&cf=1&ssa=1&sort_origin=last_relist_at%3Adesc&search_sort_default=false&promoted=0
